x,y,Class,Neural Network,SVM,kNN,Random Forest,Neural Network (C1),Neural Network (C2),Neural Network (C3),Neural Network (C4),SVM (C1),SVM (C2),SVM (C3),SVM (C4),kNN (C1),kNN (C2),kNN (C3),kNN (C4),Random Forest (C1),Random Forest (C2),Random Forest (C3),Random Forest (C4),Fold
continuous,continuous,C1 C2 C3 C4,C1 C2 C3 C4,C1 C2 C3 C4,C1 C2 C3 C4,C1 C2 C3 C4,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,1 2 3 4 5 6 7 8 9 10
,,class,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
0.7516675542103776,0.7647049709675133,C3,C3,C3,C3,C3,2.069315211450262e-08,1.0841702075137002e-05,0.9999888642844094,2.7332036329153583e-07,0.013283892148601276,0.016681213159398536,0.9624317747605183,0.007603119931481841,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.49617875714973986,0.8149931774705717,C2,C2,C2,C2,C2,0.005301487304036346,0.994598497710632,9.97962380097076e-05,2.1874732173660615e-07,0.14371664301571246,0.7990138118165405,0.03891556755021346,0.018353977617533494,0.0,1.0,0.0,0.0,0.05,0.95,0.0,0.0,1
0.69003150598112,0.5045107459066467,C3,C3,C3,C3,C3,9.877328630578644e-06,0.0005466094646084978,0.9991753299361686,0.00026818327059220215,0.012532962550788304,0.050630460116975154,0.9246729388019147,0.012163638530321931,0.0,0.0,1.0,0.0,0.0,0.4,0.6,0.0,1
0.06784840206283319,0.35544721274821395,C3,C3,C3,C3,C3,1.042758941967873e-06,1.2019589735117307e-05,0.9999869345194541,3.1318689739615347e-09,0.017035221274130694,0.008828820439114916,0.9626224159693059,0.011513542317448626,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.3887289813033092,0.4873377221794744,C2,C2,C2,C2,C2,0.0010383305704391758,0.9988508874652562,0.00010897703747114061,1.8049268332452606e-06,0.04801263385435933,0.9203298725255579,0.01784055701313137,0.013816936606951267,0.0,1.0,0.0,0.0,0.04,0.9099999999999999,0.05,0.0,1
0.34225750858165566,0.32554468372169043,C2,C3,C3,C2,C3,4.218018577765653e-05,0.06665091236951948,0.9333018918994801,5.0155452227105755e-06,0.035668380164900315,0.4688768223783965,0.4788015664995692,0.01665323095713386,0.0,0.6,0.4,0.0,0.1,0.0,0.9,0.0,1
0.651499518838462,0.5317469891196839,C3,C3,C3,C3,C3,4.065079550296436e-05,0.00990495173795477,0.9899006254689936,0.00015377199754876717,0.016116627329567024,0.20767077241249327,0.7622944528505938,0.013918147407345816,0.0,0.2,0.8,0.0,0.0,0.4,0.6,0.0,1
0.2217645179465809,0.22740322749816544,C3,C3,C3,C3,C3,1.4294746517760443e-08,7.215002560470767e-06,0.9999927675256013,3.1770915557976724e-09,0.01293176571084908,0.02214996118557249,0.9564716918798631,0.008446581223715206,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.1,1
