x,y,Class
continuous,continuous,C1 C2 C3 C4
,,class
0.14127775316993987,0.9215467153897093,C1
0.17937994696141193,0.7486982965716151,C1
0.2826112363078417,0.8753904211246704,C1
0.09147532479091858,0.6687307218371144,C1
0.11009104412798573,0.49909166036768693,C1
0.13947104136166427,0.6521552460281071,C1
0.19308853839870174,0.629237559654872,C1
0.2491602687743566,0.6106806561383755,C1
0.16397560941827372,0.687526397914634,C1
0.11533254586852475,0.5920107148040287,C1
0.19927644335193312,0.640207138762201,C1
0.12547964442281062,0.5727920923792658,C1
0.22555943192929834,0.6075952941075325,C1
0.4035886501257707,0.8636532882534859,C1
0.37580804154118697,0.7311872038266749,C1
0.34225750858165566,0.32554468372169043,C2
0.36354076239178196,0.45890735042617603,C2
0.31281777302563385,0.305032533885259,C2
0.3027135603528133,0.43811501416756865,C2
0.34991891623825966,0.47589899304123723,C2
0.3887289813033092,0.4873377221794744,C2
0.40992231986891087,0.4838696827925764,C2
0.38815571452578274,0.4149422205901511,C2
0.3883221359401945,0.436783255511756,C2
0.4566561698863538,0.4985852929654999,C2
0.4177723016676639,0.48175896944247265,C2
0.4644512817917257,0.4573411711242099,C2
0.39898585116408186,0.4884792823293457,C2
0.46097046974985884,0.468967479445653,C2
0.4118527110932195,0.5352520847841874,C2
0.43867071242439637,0.5653472587914676,C2
0.515037385714909,0.5385715221521222,C2
0.5492609983203818,0.4815297340683911,C2
0.532692769359051,0.48217402163571876,C2
0.5303804081797339,0.5504685800183093,C2
0.4748247042110435,0.5797226028941527,C2
0.4918916576128367,0.6438565075521564,C2
0.46253407956138776,0.6680617908435875,C2
0.5385540080020779,0.7249576342262564,C2
0.5233959384365866,0.7097498630270482,C2
0.47561579733221604,0.7126690256852972,C2
0.48172581793375424,0.8190794196642425,C2
0.6038155597553669,0.7400498285763302,C2
0.5597067587522575,0.8371266738915027,C2
0.549881678084135,0.794671186693291,C2
0.49617875714973986,0.8149931774705717,C2
0.5947490801977571,0.8327380791982737,C2
0.4953231769508729,0.8113025316363228,C2
0.5335166264339547,0.8082522448752434,C2
0.06010811393211046,0.4735159699455942,C3
0.0,0.3738106949899685,C3
0.05805411397808091,0.42366988841159403,C3
0.1067249399646871,0.34655937559981076,C3
0.10257802403428136,0.38345394763587554,C3
0.06465055084605567,0.4338934746022091,C3
0.06784840206283319,0.35544721274821395,C3
0.08420455832929395,0.2845448363187557,C3
0.10897261471716957,0.3526411462568424,C3
0.10535081513429617,0.30459401461459434,C3
0.15235945747864282,0.30936099642152204,C3
0.17457328682900047,0.29155961115229556,C3
0.20610844332307365,0.3024980524776306,C3
0.2112286601642735,0.23191451087314807,C3
0.2537104318021876,0.11528020572194542,C3
0.18381335493182255,0.25333663968206943,C3
0.2217645179465809,0.22740322749816544,C3
0.19655335160812412,0.18861823158566698,C3
0.22212698972446335,0.2172121493647419,C3
0.23914443431506063,0.1991232798981182,C3
0.23793025991836142,0.18853526512130125,C3
0.3190344535175314,0.14643266078929046,C3
0.3055490878155308,0.19534101433227435,C3
0.3180055221685521,0.15318462229462962,C3
0.36555428854946165,0.14624472394706234,C3
0.38860895834026066,0.11819367346029033,C3
0.3963144249975081,0.17962073259114913,C3
0.43728620984191474,0.13726561424769912,C3
0.5823029838234592,0.09868762715076958,C3
0.508760360788852,0.1879696246124325,C3
0.5395686423508165,0.1703229369944982,C3
0.5390657195610195,0.17398171606580976,C3
0.6358035409753894,0.24228205877297282,C3
0.5649535884850462,0.2555530345597831,C3
0.639468185982194,0.33422369998925244,C3
0.5940761174400675,0.3053741930952088,C3
0.7290859947162752,0.3840596871669582,C3
0.6098376283989937,0.41270132355718164,C3
0.6657913262328541,0.3816560358734993,C3
0.6988473970546413,0.4685243798977121,C3
0.7641349147878859,0.5172114992939317,C3
0.651499518838462,0.5317469891196839,C3
0.7196379745737566,0.5644538797986408,C3
0.69003150598112,0.5045107459066467,C3
0.7380309413924994,0.6437551150159619,C3
0.7290666175572383,0.627705518540868,C3
0.7259859027870021,0.614598639895063,C3
0.7245062494596523,0.6214831227641088,C3
0.7250039295944234,0.5983609993364949,C3
0.6935896243623043,0.6773207331604784,C3
0.6511198185399073,0.7331916701164289,C3
0.7253286822453104,0.7160097859261945,C3
0.7539446356577001,0.6819930143613417,C3
0.7715035989823338,0.6816964310042942,C3
0.7241651453941687,0.7234625329400668,C3
0.7845143932145067,0.8132359251323924,C3
0.6884382243746802,0.697926925661812,C3
0.7666735273851002,0.7650263177838271,C3
0.7952394039555719,0.8157287372090812,C3
0.7516675542103776,0.7647049709675133,C3
0.7508472829187662,0.7943729212954248,C3
0.7641311101154488,0.7868700508372781,C3
0.7338341714243015,0.7950973185322558,C3
0.8176119353135168,0.7861608660187318,C3
0.7338783722036557,0.7539055013887477,C3
0.7362480933441591,0.7835121964545869,C3
0.7919389362745781,0.8166915639203816,C3
0.6716576420125885,0.967704661676179,C3
0.6064659728931278,1.0,C3
0.6723457861900956,0.9010404578777479,C3
0.7966118562629422,0.2736351268238314,C4
0.857070518569057,0.2569216684000868,C4
0.8268804379652801,0.3281696695715966,C4
0.9276941179905698,0.3190204785091004,C4
0.8769567558529778,0.27354895506579596,C4
0.8413260799925549,0.3317505132295619,C4
0.8925933774913405,0.27601685214070865,C4
0.8558938181788717,0.23924187508673014,C4
0.7768502334175055,0.24358481675930158,C4
